,French Polynesia,Australia,Egypt,Somalia,Algeria,United States,Brazil,Germany,Suriname,Kiribati,Denmark,South Africa,United Arab Emirates,Venezuela,Indonesia,Russian Federation,China,Western Samoa,Philippines,Yemen,Guatemala,Nigeria,Spain,Iran,Ivory Coast (Cote d'Ivoire),Ethiopia,Papua New Guinea,Saudi Arabia,United Kingdom,Mexico,Ghana,Colombia,Switzerland,Sri Lanka,Panama,Turkey,Namibia,Jordan,Sudan,South Sudan,Chad,Mauritania,Argentina,Norway,Iceland,Uzbekistan,Solomon Islands,Morocco,France,Sweden,Japan,Greenland,Greece,India,Paraguay,Guyana,Italy,Honduras,Oman,Madagascar,Marshall Islands,Central African Republic,Djibouti,Cook Islands,Comoros,Niger,Gabon,Libya,New Zealand,Cyprus,Canada,Kazakhstan,Myanmar,Peru,Syria,Andorra,Mozambique,Netherlands,Kenya,Chile,Congo,Angola,Belgium,Austria,Antigua and Barbuda,Malaysia,Laos,Bolivia,Fiji,Tanzania,Burkina Faso,Romania,Eritrea,Turkmenistan,Bahamas,Saint Helena,Ecuador,Pakistan,Uruguay,Aruba,East Timor,Vanuatu,Cuba,Mongolia,Portugal,United States Minor Outlying Islands,Anguilla,"Macau (SAR), China",Dominican Republic,Bahrain,Costa Rica,Azerbaijan,Democratic Republic of the Congo,Botswana,Cambodia,Guadeloupe,Zambia,Belize,Bermuda,Seychelles,Nepal,Nicaragua,Serbia,Israel,Lebanon,Zimbabwe,Thailand,Cameroon,Barbados,Iraq,Afghanistan,Gambia,Burundi,Guinea,Mali,Ireland,Malawi,Vietnam,New Caledonia,Bosnia and Herzegovina,Bulgaria,"Bonaire, Saint Eustatius & Saba",Guinea Bissau,Belarus,Saint Vincent and Grenadines,Czech Republic,Equatorial Guinea,Sierra Leone,Rwanda,Slovakia,Hungary,Georgia,Bhutan,Cape Verde,Croatia,Brunei Darussalam,Senegal,Poland,Liberia,Bangladesh,Moldova,Haiti,French Guiana,Cocos (Keeling) Islands,Estonia,South Korea,Ukraine,Chinese Taipei,Benin,Grenada and South Grenadines,Curacao,Cayman Islands,Dominica,Maldives,Unknown Country,Latvia,Qatar,Tunisia,North Korea,Albania,Tajikistan,Mayotte,Uganda,British Virgin Islands,Finland,Tonga,Western Sahara,Armenia,Martinique,Kyrgyzstan,Saint Pierre and Miquelon,Tuvalu,Wallis and Futuna Islands,Turks and Caicos Islands,Gibraltar,Palestinian Territory,Malta,"Hong Kong (SAR), China",Lithuania,Montenegro,El Salvador,Nauru,Niue,Jamaica,Micronesia,Kuwait,Lesotho,Togo,Slovenia,Luxembourg,Monaco,Singapore,Montserrat,Falkland Islands,Mauritius,Swaziland,Saint Kitts and Nevis,Norfolk Island,Macedonia,Sao Tome and Principe,Trinidad and Tobago,Liechtenstein,Palau,Reunion,Saint Barthelemy,Saint Martin,Saint Lucia,Sint Maarten,Antarctica,Christmas Island
Nigeria,6,1328,1796,0,109,14450,108,7874,7,0,735,7950,21047,8,234,266,7428,0,476,0,0,449975,1676,29,1394,1999,0,9532,37561,201,15283,38,1165,52,5,2030,70,219,894,4,1083,12,4,386,4,3,0,241,3692,1051,359,0,255,6017,0,0,5359,0,329,0,0,33,17,0,0,1312,555,0,111,643,6589,43,41,0,0,0,230,2671,2569,11,160,432,553,2278,0,817,2,0,0,278,133,130,0,0,63,0,0,518,0,0,0,0,0,0,261,0,0,0,200,133,13,36,131,156,97,0,349,0,40,0,45,0,81,690,1552,214,442,1690,8,90,8,322,0,119,89,4507,6,244,0,0,53,0,5,8,0,147,303,692,1179,0,200,13,0,1625,78,0,1336,178,500,221,6,0,0,0,26,224,522,73,150,0,8,2,0,19,0,103,773,54,0,9,0,0,588,0,375,0,0,0,1,0,0,0,0,59,5,0,49,703,27,0,6,0,0,69,0,183,42,1139,0,20,0,327,0,0,322,41,0,0,0,0,0,0,0,0,0,0,0,8,0,0
Spain,31,10147,9156,8,23172,138289,37906,655916,19,0,75985,3839,15824,14474,3424,62566,46922,0,9119,0,5107,1551,2477728,1810,544,589,12,5861,997558,49551,756,50531,152060,686,5650,29735,139,1472,82,27,85,2100,44852,60005,8539,212,0,76537,358409,93377,18352,0,23359,15734,2973,12,452103,3354,793,60,0,11,64,0,8,97,96,17,1274,1724,15577,1173,313,23047,0,0,237,202586,985,16457,91,230,169012,73090,6,2269,73,6393,11,826,177,58080,0,98,122,0,15983,10247,8338,160,0,0,13287,43,146895,0,0,0,20841,1182,8196,613,42,9,304,243,80,1,62,113,625,1350,3137,30615,2140,123,10156,145,88,739,41,2273,0,317,956,104200,42,1745,1,243,15810,4,25,866,0,31021,2202,25,73,216,36692,2135,0,1314,3259,6,6102,59948,48,2477,1957,7,79,0,3621,31877,21762,3422,167,3,155,8,4,889,0,4359,3355,4448,0,727,365,39,319,0,54910,0,2793,344,180,443,0,0,0,48,0,0,12160,6869,7574,1445,1374,0,0,410,0,2387,6,97,552,15400,0,4776,0,0,616,12,0,0,1436,3,67,0,0,178,0,0,7,73,0,0
Iran,1,3117,1003,68,249,1322,28,17766,0,0,2934,46,30442,6,133,3935,13269,0,77,0,0,48,1996,1015300,0,10,0,348,5495,3,23,0,678,527,0,86252,0,200,379,0,0,0,7,1254,0,134,0,8,2368,6594,679,0,118,8509,0,0,2743,0,9178,0,0,0,26,0,0,0,0,132,383,288,2011,822,23,0,1378,0,0,2110,44,0,5,4,807,1671,0,4605,11,0,0,97,0,57,17,48,0,0,2,5395,0,0,0,0,5,2,31,0,0,0,9,5058,0,2873,0,0,0,0,19,0,0,44,101,0,40,0,1995,4,3828,0,5,43054,1183,0,0,0,0,86,0,109,0,13,21,0,0,78,0,202,0,3,0,15,159,5536,0,0,25,0,0,165,0,739,0,0,0,0,51,126,250,141,0,0,4,0,0,6,0,26,9790,68,3,2,240,0,23,0,455,0,0,30,2,252,0,0,0,0,0,0,4,143,24,0,0,0,0,3,0,12190,0,0,35,63,0,49,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
Ivory Coast (Cote d'Ivoire),0,111,163,0,44,2669,26,547,0,0,86,737,1230,0,56,31,2294,0,256,0,0,1934,411,0,8119,268,0,42,1526,3,2725,5,706,7,0,550,3,8,17,0,246,11,0,93,0,0,0,3186,17089,176,105,0,37,868,0,0,2639,2,27,30,0,53,0,0,0,1394,694,1,3,21,1329,4,8,5,0,0,23,258,201,0,560,243,424,179,0,85,3,0,0,98,3738,10,7,0,0,0,0,24,0,0,0,0,0,0,330,0,0,0,0,0,0,0,255,6,2,0,16,0,0,0,0,0,0,76,566,5,144,1343,0,1,0,13,8,4107,2888,41,6,102,0,0,20,0,22,0,0,12,0,551,60,0,7,6,0,0,0,0,6898,18,488,20,0,0,0,0,0,38,34,4,2819,0,0,0,0,3,0,0,25,289,0,0,3,0,53,0,12,0,0,4,6,0,0,0,0,0,0,0,0,80,13,7,0,0,0,0,0,40,0,1546,0,39,0,74,0,0,16,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,0,678,698,2310,17,9527,219,4060,0,0,386,3193,18163,4,177,186,8416,0,58,0,0,3700,749,8,383,221031,0,10949,3509,6,372,12,1178,88,13,3672,1503,1128,2647,1833,117,3,112,457,0,2,0,114,2509,1316,431,0,114,5534,0,34,2818,0,263,1221,0,9,4569,0,179,315,162,0,99,23,1455,0,19,4,1,0,628,1015,5921,8,551,3100,790,313,0,178,0,0,2,4110,413,20,4916,0,2,0,7,76,0,2,0,0,0,1,92,0,0,0,19,514,13,0,8654,344,9,0,764,0,0,1035,12,0,23,3476,4674,595,1751,1224,0,11,16,23,194,220,365,334,653,117,0,0,9,0,3,5,0,52,1561,56,1339,0,22,41,0,0,0,0,682,121,25,92,0,0,0,0,13,456,81,64,246,0,0,0,0,15,0,3,1386,43,0,0,2,2,932,0,103,0,0,6,0,0,0,0,0,0,0,0,21,672,31,0,0,0,0,14,0,574,22,569,0,40,0,201,0,0,34,80,0,0,3,0,88,0,0,0,0,0,0,0,0,0
Papua New Guinea,0,14782,0,0,0,27,0,24,0,10,0,12,2,0,116,2,1027,7,2839,0,0,3,8,0,0,0,162937,0,22,0,0,0,6,8,0,3,0,0,0,0,0,0,2,0,0,0,1865,3,4,0,320,0,18,30,0,0,28,0,0,0,0,0,0,0,0,0,0,0,473,0,2,0,9,0,0,0,0,0,0,0,0,0,0,4,0,228,0,0,377,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,2,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,11,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2168,0,0,0,0,0,0,92,0,0,0,0,0,0,3236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,5,2338,290599,1241,12983,24904,211,8198,0,0,616,7359,242447,7,118668,2368,12470,0,38558,0,0,8706,5266,143,85,12631,0,2013529,36704,176,916,96,4702,12924,30,101047,0,36992,43847,129,323,317,66,457,12,4082,0,15333,9087,1015,960,0,1762,254563,19,0,5337,0,23238,37,0,7,53,0,16,143,15,17329,141,439,5721,4133,57,4,10,0,428,3732,3796,59,9,10,560,1553,0,50833,71,15,0,192,114,547,536,149,0,0,13,229966,6,0,1,0,6,1,587,0,0,113,12,24551,11,4856,10,8,235,0,50,0,7,96,14973,0,344,190,29092,28,5677,150,0,3572,8308,39,159,32,159,536,91,785,0,388,153,0,6,37,0,699,7,26,30,0,226,2931,10,0,139,817,286,764,4,90280,6,0,0,0,12,1588,771,402,68,1,0,0,0,4334,0,77,4935,15124,0,497,148,0,1115,0,132,0,157,109,0,607,0,0,0,0,0,0,93,597,82,0,12,0,0,12,0,46624,0,6,36,77,0,7147,0,0,3259,0,0,0,13,0,21,0,0,0,0,0,0,0,0,0
United Kingdom,209,105112,32788,2415,6377,572794,23451,372730,73,0,96642,68747,100389,243,15198,30165,86958,0,19421,0,731,30001,974190,3123,1010,4337,38,36412,1391648,31969,11036,5351,328836,18779,1340,66549,969,5305,1472,343,264,319,8660,92806,50162,521,0,49067,355309,68171,28372,0,60032,175692,296,1232,424445,145,6856,201,0,54,256,56,48,255,428,0,28687,42377,60934,2591,2231,2248,0,0,662,307078,14310,5840,361,1425,42201,106971,7970,27752,364,405,413,4538,266,133328,532,1200,1895,8,1720,52557,623,275,3,9,4467,210,176089,0,0,13,13221,6239,7289,3200,572,1124,3078,25,1673,441,2861,1515,10140,486,10282,46006,5663,5614,78331,746,43067,8579,2394,1733,75,220,355,413641,1033,16184,14,359,81489,55,41,1699,1158,75682,471,1498,1422,24853,94600,2267,0,16651,6277,978,1465,321886,302,13649,9619,23,2,0,8698,17536,15961,8468,124,3819,471,1164,480,10807,0,30944,26276,5886,0,10879,123,16,3785,576,35031,2,33,231,8,339,0,0,0,493,10766,0,42235,43834,46029,1337,319,0,0,21516,0,28202,47,248,4676,21547,0,48066,0,36,11608,20,663,0,3565,27,4930,0,1,49,63,0,7729,508,0,0
Mexico,229,4759,836,0,26,1347158,31372,27782,43,0,5189,700,2127,1890,123,5133,6368,0,623,0,16289,157,45707,20,20,19,0,328,36042,3811673,169,73640,8708,12,10965,3113,0,32,3,0,0,0,24335,2028,152,34,0,408,25198,8107,8489,0,345,1526,2409,99,17613,2425,19,0,0,0,0,0,0,0,0,0,770,17,344522,60,11,27395,0,0,6,6552,245,17104,0,5,5079,2434,46,374,2,1724,0,113,8,1132,0,2,349,0,11873,58,3644,218,0,0,29008,0,1871,0,0,0,4928,44,26918,12,0,0,8,0,4,476,254,80,35,1444,126,3091,80,18,745,0,74,40,0,0,0,0,0,2939,0,202,0,0,309,12,0,57,0,1039,4,0,10,12,1439,16,0,0,67,0,121,1924,0,6,6,181,0,0,97,4159,1481,229,0,91,226,106,0,172,0,92,110,105,0,118,3,0,14,14,1182,0,0,50,5,0,0,0,0,0,0,0,39,1616,105,6,7519,0,0,1079,0,59,0,22,6,179,0,631,0,0,178,0,51,0,0,0,677,0,0,0,0,0,28,106,0,0
Ghana,0,802,526,0,25,10250,64,3398,0,0,1013,4092,3808,0,52,101,3950,0,243,0,0,15557,593,6,3358,262,0,853,17754,126,45025,0,724,36,29,693,56,685,51,8,22,34,4,227,3,9,0,421,1796,489,255,0,191,1795,0,0,3425,0,151,9,0,5,5,0,0,147,42,0,56,13,2122,4,12,0,0,0,45,5123,757,2,103,68,849,327,0,120,0,0,0,140,1021,147,6,0,73,0,0,55,0,0,0,0,0,0,177,0,0,0,141,124,10,12,35,73,8,0,140,0,44,2,23,0,43,184,1418,110,255,353,2,53,3,1608,5,166,383,227,13,90,0,0,15,0,2,38,0,41,0,1076,291,0,85,3,0,11,12,0,1471,87,3872,24,0,0,0,0,0,224,93,0,23,0,0,4,0,0,0,12,409,122,0,8,0,0,196,0,129,0,0,2,0,0,0,0,0,51,5,0,54,293,0,0,23,0,0,92,0,175,18,1234,17,28,0,305,0,0,158,27,0,0,7,162,2,0,0,0,0,0,0,0,0,0
Colombia,0,3712,130,0,0,172542,17812,9364,171,0,1139,99,803,13418,53,325,994,0,127,0,3876,35,44292,2,9,22,0,198,9682,73146,24,2301465,3214,11,40001,980,0,18,2,0,0,0,21004,538,18,3,0,30,11578,1993,558,0,196,445,3073,186,8025,1715,22,0,0,0,0,0,0,0,0,0,330,0,22939,35,8,34166,0,0,8,3800,55,27060,0,10,1819,1009,29,143,7,5060,0,2,0,102,0,0,348,0,19161,23,2303,5128,0,0,4072,3,1176,0,1,0,11258,72,11434,17,0,0,1,5,9,92,0,0,0,981,53,831,105,2,117,0,103,6,7,0,0,0,0,431,0,15,0,3,53,64,0,0,0,248,0,0,0,0,194,10,0,0,33,0,24,299,0,0,0,71,0,0,9,280,110,16,5,3,5031,161,3,0,0,17,171,15,0,3,0,0,25,40,261,0,0,1,17,0,0,0,0,6,0,0,265,246,0,3,2542,0,0,424,0,61,0,0,41,173,0,124,0,0,4,0,4,0,0,0,353,0,0,0,0,0,0,681,0,0
Switzerland,32,13022,20979,65,2208,68257,14681,181391,6,0,20588,9192,22800,192,3797,26822,13321,0,3327,0,412,672,135002,592,609,876,0,5005,332640,4657,488,2203,5902,3142,920,41244,824,1908,145,88,64,119,3020,10060,1973,118,0,17165,111665,17340,5823,0,17047,10074,172,1,53943,55,1748,310,0,117,50,0,23,155,80,26,2800,2380,9359,454,1318,1240,0,0,53,56868,2542,2284,136,123,37357,38420,11,2807,425,174,38,1702,360,10460,91,17,244,0,914,751,495,105,0,2,2545,241,73172,0,0,0,3117,593,4357,651,510,78,895,20,80,44,76,1325,433,234,50680,16214,3026,179,24175,704,149,784,56,174,24,180,237,17428,21,4981,89,2491,4807,87,23,1208,0,11084,8,80,331,311,18858,354,0,1465,2720,4,1201,21154,33,508,518,16,0,0,781,2959,7423,1544,198,73,139,48,0,4234,0,2783,6152,3710,0,2403,91,9,474,59,10643,0,50,138,30,318,0,0,0,12,5,0,1858,6375,1203,1301,179,0,0,136,0,1754,7,411,1480,9290,0,8518,0,0,4634,0,0,0,15596,43,15,0,66,115,0,0,6,226,0,0
Sri Lanka,0,18117,816,34,8,2247,112,9338,3,0,2482,659,19967,0,3620,14794,19168,0,1027,0,0,79,1341,506,33,116,24,12936,17609,25,47,10,3335,2470,12,702,30,1008,175,21,4,23,29,1891,9,0,0,31,7051,4243,7373,0,468,80828,0,0,9324,0,3808,52,0,6,15,0,1,0,4,0,2092,663,5255,8,530,0,5,0,14,1632,394,10,2,3,1161,1183,0,8746,45,2,16,40,0,634,15,0,0,0,19,2641,0,0,0,0,31,26,163,0,0,20,6,1443,0,382,0,358,704,0,70,0,27,1189,714,0,157,1688,548,10,11146,7,0,261,42,8,0,0,20,439,29,1073,0,5,83,0,0,110,0,3170,5,2,26,103,701,231,0,0,233,67,0,2439,0,3203,19,0,0,0,528,2191,2284,782,3,0,0,0,0,25999,0,145,7903,46,0,15,0,0,162,0,815,0,0,166,0,0,0,0,0,0,1,0,59,2623,138,0,0,0,0,0,0,5840,21,0,10,48,0,10927,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama,0,94.99998,48,0,15.00001,92996.99915,5038.00046,2698.99964,296.99993,0,312.99996,106.99994,177.99995,15800.99975,18,340.99991,3500.00239,0,824.00001,0,6071.99989,11.00001,5056.00073,0,6,15,0,22,1566,9314.00176,9,37478.98939,1466.99982,35,33725.99802,563.00025,0,0,0,0,0,0,5210.99838,207.00001,61,0,0,15,3099.00033,533.00004,167,0,303.99972,456.0002,736.99998,974.00057,1709.99975,2919.00011,24,0,0,0,0,0,0,0,0,0,14,0,11453.99895,5,38.99999,6549.99672,0,0,5,1079.00002,28,2241.00358,0,4,843.00051,476.00007,16,15,0,1354.99947,0,0,0,583.00001,0,0,678.99994,0,7720.99763,16.00002,1220.99962,1783.00007,0,0,10967.99962,2,292.00013,0,0,0,5327.99981,15,12172.00139,0,0,6,0,22,0,353,0,0,0,3306.99968,15,712,33,0,166.99999,0,356.00009,4,2,0,0,0,0,187.00014,0,62,0,0,70,8,0,14,21,144.99994,0,0,0,0,52.00001,29.99997,0,0,51,0,7,287.99999,0,2,0,814.99995,0,0,10,162.99996,204,73.99998,0,124.99996,1088.99995,99.99998,14,0,0,46,24,6,0,0,0,0,0,45.00001,72,0,0,0,26,0,0,0,0,0,0,0,0,199,34,5,2856.00025,0,0,1084.00006,0,19,0,6,0,33.00001,0,63.99999,0,0,0,0,4,0,0,0,996.99979,0,0,0,42.00001,0,24,659.00011,0,0
Turkey,19,4210,19934,1197,23069,68765,3440,349021,26,0,13530,7682,35664,605,17487,80887,17168,0,2892,0,43,3008,32956,81364,469,3929,9,96715,73482,4040,732,1602,49959,658,785,2984670,59,16485,2589,74,212,784,618,5743,105,19691,0,18155,68142,11650,6761,0,17749,19322,68,0,46509,0,6250,104,0,21,290,0,22,582,191,14912,381,118970,8704,17191,100,364,0,0,293,50026,2051,744,119,99,25237,33247,4,8286,0,21,0,2472,253,13204,65,10974,0,0,184,10748,21,7,0,0,3213,985,6236,0,0,3,798,17055,80,34096,650,35,86,76,253,0,0,1295,583,45,17355,52059,19662,17,13493,348,36,59767,6679,294,26,313,252,3199,16,1503,0,7473,5075,4,17,3946,22,9183,22,59,223,22,9333,15872,8,2,3077,1,893,7416,314,2829,3929,0,29,0,1851,13703,39404,6814,146,9,22,0,0,1994,0,2297,14605,14210,0,7052,2792,0,1201,3,5574,0,40,2543,95,8125,0,0,0,0,0,0,2850,3388,2957,3000,0,0,0,80,0,44745,0,146,3626,2529,0,4112,0,0,2256,0,0,0,7224,0,0,0,0,0,0,0,0,0,0,0
Namibia,0,107,44,0,0,465,166,7712,0,0,62,19331,131,0,59,434,467,0,116,0,0,32,159,9,3,1491,0,6,693,0,62,0,902,9,4,58,11898,2,12,0,0,0,0,105,0,0,0,20,792,64,60,0,12,195,0,0,671,0,7,34,0,0,0,0,0,0,0,0,67,3,156,5,0,0,0,0,65,707,135,0,0,2345,352,484,0,4,0,0,0,137,0,56,0,0,0,0,4,4,0,0,0,0,8,0,590,0,0,0,0,0,0,0,25,640,0,0,464,0,0,0,0,0,18,50,3,1092,50,0,0,4,0,0,0,0,0,30,43,3,0,0,66,0,0,7,0,45,0,0,8,0,24,0,0,9,22,0,14,126,0,17,0,0,0,0,0,62,100,15,0,0,0,0,0,69,0,11,429,6,0,0,0,0,69,0,156,0,0,0,0,0,0,0,0,0,0,0,0,104,4,0,0,0,0,0,0,7,2,0,0,24,0,14,0,0,113,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,0,1481,25659,8,2114,13733,180,6806,0,0,641,731,41537,34,2387,2495,2613,0,1913,0,4,243,2635,50,26,273,0,38555,6075,119,146,18,2181,1238,15,20513,4,3178,1158,9,18,83,31,241,0,15,0,955,4981,942,886,0,3573,3497,0,0,12575,0,3037,8,0,2,27,0,0,0,0,3675,110,2198,2344,100,48,18,1,0,8,2407,170,3,0,14,1578,334,0,2596,0,2,4,73,30,1762,0,2,0,0,3,1419,13,0,0,0,24,2,178,0,0,0,4,3456,0,70,3,5,10,0,12,0,0,4,589,0,61,645,9465,0,1153,3,0,13047,45,2,0,0,18,140,4,41,0,37,1401,0,0,23,0,1256,0,4,14,0,1403,132,0,0,20,2,21,2842,5,4520,18,0,0,0,11,1403,726,291,3,0,0,3,0,32,0,11,7203,1149,0,25,0,0,673,0,126,0,0,86,0,27,0,0,0,0,0,0,1234,373,1376,18,0,0,0,0,0,15056,0,0,26,26,0,355,0,0,88,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0
Sudan,0,431,9789,249,41,991,2,1368,0,0,149,366,16372,0,114,171,809,0,33,0,0,894,183,569,22,2445,0,41031,3396,2,22,0,480,65,0,2093,0,1016,25181,2317,421,0,4,300,0,37,0,51,305,920,80,0,40,2873,0,0,521,0,3600,17,0,23,39,0,35,15,0,1623,20,19,1250,5,5,0,871,0,7,338,716,0,18,0,125,207,0,890,0,0,0,307,10,42,970,4,3,0,2,974,0,0,0,0,0,0,18,0,0,0,0,788,0,131,34,4,0,0,30,0,0,0,4,0,27,0,2745,197,117,5,0,614,287,2,10,0,28,331,45,3,0,15,4,0,0,0,0,12,0,3,84,0,32,54,0,0,5,3,27,22,3,208,0,0,0,0,0,30,42,4,28,0,0,0,0,17,0,0,3515,168,0,0,4,0,414,0,30,0,0,0,0,35,0,0,0,0,0,0,16,18,0,4,0,0,0,0,0,1396,0,10,0,4,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Sudan,0,130,639,39,0,40,0,84,0,0,4,493,1018,0,3,112,415,0,2,0,0,0,22,0,0,1945,0,106,173,3,0,0,71,3,0,94,0,16,2354,660,0,0,0,0,3,0,0,51,21,3,34,0,2,402,0,0,40,0,3,4,0,1,14,0,0,0,0,0,0,0,75,0,5,0,1,0,0,46,1583,0,0,0,8,23,0,129,0,0,0,105,0,0,73,0,0,0,0,317,0,0,0,0,0,0,3,0,0,0,0,0,0,9,16,0,0,0,2,0,0,0,24,0,0,48,172,18,53,0,0,0,0,0,28,0,0,40,5,4,0,0,0,0,0,0,0,0,0,0,201,0,8,16,0,0,11,0,0,9,0,8,0,0,0,0,0,22,28,0,0,0,0,0,0,0,0,0,56,6,0,0,0,0,5771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,4,0,433,0,0,153,3,106,0,0,0,63,356,0,13,17,1849,0,21,0,0,370,41,0,191,195,0,1033,216,5,34,3,35,0,0,191,0,13,453,0,2353,0,0,5,0,0,0,379,1361,9,2,0,0,82,0,0,66,0,42,0,0,43,0,0,0,109,93,0,2,0,168,0,0,0,0,0,0,36,29,0,37,0,19,22,0,25,0,0,0,2,60,22,0,0,0,0,11,81,0,0,0,0,0,0,3,0,0,0,0,4,0,0,18,2,0,0,0,0,0,0,0,0,0,21,27,0,14,1783,0,5,0,0,0,10,178,4,0,2,0,0,0,0,0,0,0,5,4,0,37,0,0,2,0,0,0,0,223,2,0,9,0,0,0,0,0,23,3,1,68,0,0,0,0,0,0,0,18,78,0,0,0,0,11,0,0,0,0,18,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,24,0,248,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,0,2,129,0,176,144,7,213,0,0,19,44,283,0,26,41,1172,0,47,0,0,0,1840,0,39,0,0,193,245,0,0,0,30,0,0,679,0,24,53,0,0,3771,0,32,0,0,0,2981,2713,6,19,0,12,66,0,0,383,0,7,0,0,0,0,0,0,0,7,0,0,0,88,0,7,0,0,0,0,66,2,0,48,0,115,1,0,25,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,34,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,17,30,0,3,0,0,9,0,1,0,104,1229,3,0,22,0,3,0,0,2,0,0,4,1,4,0,0,0,0,0,0,0,0,2628,3,0,0,0,0,0,0,0,0,10,0,156,0,0,0,0,0,0,0,161,1261,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,100,4920,436,0,4,99187,166224,8953,3,0,2146,2542,1505,2118,108,970,5026,0,255,0,621,31,48229,2,5,99,0,105,10544,31152,5,22891,4988,10,4077,882,26,82,0,0,0,0,1089450,901,25,0,0,97,10478,1676,2573,0,328,1342,11204,13,15868,139,9,0,0,0,0,4,0,0,0,0,1832,8,5562,22,8,23561,0,0,41,2543,78,58791,0,8,1316,1061,43,254,8,8329,14,41,0,306,0,0,245,0,3352,13,18636,1181,0,0,5481,6,1649,0,0,0,14403,36,3657,2,10,2,0,8,7,31,0,35,2,52,84,3588,46,10,1737,0,26,5,0,0,2,4,0,650,4,123,13,0,92,0,0,18,0,509,0,0,2,0,405,4,0,0,195,0,6,782,0,6,0,19,0,0,102,1303,298,284,0,7,362,14,0,4,0,62,127,29,0,3,0,0,2,3,640,0,0,4,17,0,0,0,0,220,11,0,52,845,31,34,264,0,0,1243,0,11,0,0,15,107,0,394,0,123,63,0,3,0,3,0,22,0,0,0,0,0,13,52,0,0
Norway,1,3161,659,315,113,23534,2375,55633,3,0,84612,2182,3532,12,1392,3608,3584,0,3677,0,135,202,61914,570,52,385,10,252,98474,815,147,439,11867,1881,117,5214,225,202,150,18,5,39,711,1053709,7309,19,0,1122,19265,62773,2078,18,2182,3114,9,4,14338,1,30,146,0,0,10,0,0,57,0,0,559,401,2011,10,87,119,0,0,5,23784,1272,1079,20,31,7285,14467,0,1093,0,0,7,881,0,4101,132,0,23,0,132,1902,68,55,0,0,605,14,4404,0,0,0,119,45,348,50,3,18,89,0,133,133,1,72,194,25,2895,897,203,75,17383,67,36,1173,121,226,31,3,100,3583,50,2914,0,689,1471,60,0,124,0,4813,0,28,78,110,8345,78,0,28,1024,0,95,105498,34,150,214,0,0,0,4747,618,1342,319,0,0,17,16,0,480,0,13052,446,162,0,313,0,3,432,3,16884,0,4,17,11,59,0,0,0,0,10,0,1034,1234,18596,51,48,0,0,38,0,121,0,0,151,397,0,2752,0,0,239,0,1,0,1367,0,9,0,0,16,0,0,0,42,0,0
Iceland,0,410,101,0,9,26162,86,10436,0,0,12191,62,119,0,103,225,3728,0,111,0,0,0,8078,0,0,6,0,10,45329,79,3,18,2552,0,9,59,10,13,0,0,0,0,4,6097,23235,0,0,4,6870,3399,1517,549,130,165,0,0,1147,0,9,0,0,0,0,0,0,0,0,0,53,90,2180,0,0,0,0,0,0,4820,9,7,0,0,1613,1790,0,224,0,0,0,4,0,73,0,0,0,0,0,6,0,1,0,0,1,0,119,0,0,0,0,0,2,0,0,0,0,0,0,0,0,12,8,0,13,32,0,0,159,0,0,16,0,0,0,0,0,2663,0,265,0,0,7,0,0,0,0,336,0,0,19,0,1832,0,0,0,44,0,0,9430,0,0,113,1,0,0,54,1231,95,59,0,0,0,0,0,0,0,1549,45,4,0,0,0,0,0,0,3786,0,0,0,0,0,0,0,0,0,0,0,0,1079,1352,0,0,0,0,0,0,13,0,0,0,50,0,148,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
